time,date,message,package_id
12:03:05.6,2023-02-07,PackageDelivered,567638417
12:03:18.3,2023-02-07,BarcodeRead,900735322
12:03:21.6,2023-02-07,PackageAppeared,1545929298
12:03:24.6,2023-02-07,Destination Found,259516681
12:03:30.7,2023-02-07,PackageDelivered,259516681
12:03:38.1,2023-02-07,BarcodeRead,1545929298
12:03:41.2,2023-02-07,PackageAppeared,1476879880
12:03:44.2,2023-02-07,Destination Found,900735322
12:03:50.3,2023-02-07,PackageDelivered,900735322
12:03:59.3,2023-02-07,BarcodeRead,1476879880
12:04:02.4,2023-02-07,PackageAppeared,1844649366
12:04:05.4,2023-02-07,Destination Found,1545929298
12:04:11.4,2023-02-07,PackageDelivered,1545929298
12:04:19.0,2023-02-07,BarcodeRead,1844649366
12:04:21.9,2023-02-07,PackageAppeared,2017735224
12:04:25.4,2023-02-07,Destination Found,1476879880
12:04:31.3,2023-02-07,PackageDelivered,1476879880
12:04:38.6,2023-02-07,BarcodeRead,2017735224
12:04:41.8,2023-02-07,PackageAppeared,1986407197
12:04:44.6,2023-02-07,Destination Found,1844649366
12:04:50.7,2023-02-07,PackageDelivered,1844649366
12:04:58.6,2023-02-07,BarcodeRead,1986407197
12:05:02.0,2023-02-07,PackageAppeared,1815090865
12:05:05.4,2023-02-07,Destination Found,2017735224
12:05:11.1,2023-02-07,PackageDelivered,2017735224
12:05:18.3,2023-02-07,BarcodeRead,1815090865
12:05:21.6,2023-02-07,PackageAppeared,1524724756
12:05:28.0,2023-02-07,Destination Found,1986407197
12:05:30.7,2023-02-07,PackageDelivered,1986407197
12:05:38.2,2023-02-07,BarcodeRead,1524724756
12:05:41.2,2023-02-07,PackageAppeared,1226231935
12:05:44.6,2023-02-07,Destination Found,1815090865
12:05:50.2,2023-02-07,PackageDelivered,1815090865
12:05:58.5,2023-02-07,BarcodeRead,1226231935
12:06:02.0,2023-02-07,PackageAppeared,1124287588
12:06:05.4,2023-02-07,Destination Found,1524724756
12:06:11.2,2023-02-07,PackageDelivered,1524724756
12:06:19.1,2023-02-07,BarcodeRead,1124287588
12:06:22.4,2023-02-07,PackageAppeared,823304323
12:06:29.2,2023-02-07,Destination Found,1226231935
12:06:31.5,2023-02-07,PackageDelivered,1226231935
12:06:38.8,2023-02-07,BarcodeRead,823304323
12:06:42.4,2023-02-07,PackageAppeared,663784831
12:06:45.0,2023-02-07,Destination Found,1124287588
12:06:51.1,2023-02-07,PackageDelivered,1124287588
12:07:00.2,2023-02-07,BarcodeRead,663784831
12:07:03.3,2023-02-07,PackageAppeared,365095396
12:07:06.2,2023-02-07,Destination Found,823304323
12:07:06.4,2023-02-07,PackageAppeared,254285455
12:07:12.4,2023-02-07,PackageDelivered,823304323
12:07:13.8,2023-02-07,PackageLost,254285455
12:07:26.0,2023-02-07,BarcodeRead,365095396
12:07:28.6,2023-02-07,PackageAppeared,2038182529
12:07:31.6,2023-02-07,Destination Found,663784831
12:07:37.6,2023-02-07,PackageDelivered,663784831
12:07:44.8,2023-02-07,BarcodeRead,2038182529
12:07:47.0,2023-02-07,PackageAppeared,1882300635
12:07:54.2,2023-02-07,Destination Found,365095396
12:07:57.1,2023-02-07,PackageDelivered,365095396
12:08:06.4,2023-02-07,BarcodeRead,1882300635
12:08:09.2,2023-02-07,PackageAppeared,1525249372
12:08:11.2,2023-02-07,Destination Found,2038182529
12:08:18.2,2023-02-07,PackageDelivered,2038182529
12:08:26.1,2023-02-07,BarcodeRead,1525249372
12:08:29.6,2023-02-07,PackageAppeared,1754796217
12:08:31.4,2023-02-07,Destination Found,1882300635
12:08:38.3,2023-02-07,PackageDelivered,1882300635
12:08:45.8,2023-02-07,BarcodeRead,1754796217
12:08:48.5,2023-02-07,PackageAppeared,911060005
12:08:52.0,2023-02-07,Destination Found,1525249372
12:08:57.9,2023-02-07,PackageDelivered,1525249372
12:09:06.7,2023-02-07,BarcodeRead,911060005
12:09:09.2,2023-02-07,PackageAppeared,1175669680
12:09:14.6,2023-02-07,Destination Found,1754796217
12:09:17.9,2023-02-07,PackageDelivered,1754796217
12:09:24.9,2023-02-07,BarcodeRead,1175669680
12:09:28.5,2023-02-07,PackageAppeared,329246410
12:09:35.8,2023-02-07,PackageStopped,911060005
12:09:37.6,2023-02-07,Destination Found,911060005
12:09:39.2,2023-02-07,PackageDelivered,911060005
12:09:46.9,2023-02-07,BarcodeRead,329246410
12:09:49.5,2023-02-07,PackageAppeared,560104015
12:09:52.8,2023-02-07,Destination Found,1175669680
12:09:58.7,2023-02-07,PackageDelivered,1175669680
12:10:07.4,2023-02-07,BarcodeRead,560104015
12:10:10.7,2023-02-07,PackageAppeared,180606270
12:10:13.8,2023-02-07,Destination Found,329246410
12:10:19.7,2023-02-07,PackageDelivered,329246410
12:10:29.7,2023-02-07,BarcodeRead,180606270
12:10:33.2,2023-02-07,PackageAppeared,418804131
12:10:36.4,2023-02-07,Destination Found,560104015
12:10:42.4,2023-02-07,PackageDelivered,560104015
12:10:51.4,2023-02-07,BarcodeRead,418804131
12:10:54.6,2023-02-07,PackageAppeared,825434499
12:10:57.8,2023-02-07,Destination Found,180606270
12:11:03.7,2023-02-07,PackageDelivered,180606270
12:11:10.8,2023-02-07,BarcodeRead,825434499
12:11:14.0,2023-02-07,PackageAppeared,1334664759
12:11:21.6,2023-02-07,PackageStopped,418804131
12:11:25.6,2023-02-07,Destination Found,418804131
12:11:27.2,2023-02-07,PackageDelivered,418804131
12:11:34.6,2023-02-07,BarcodeRead,1334664759
12:11:37.9,2023-02-07,PackageAppeared,251158239
12:11:44.0,2023-02-07,Destination Found,825434499
12:11:46.7,2023-02-07,PackageDelivered,825434499
12:11:56.1,2023-02-07,BarcodeRead,251158239
12:11:58.6,2023-02-07,PackageAppeared,267378417
12:12:02.6,2023-02-07,Destination Found,1334664759
12:12:08.0,2023-02-07,PackageDelivered,1334664759
12:12:16.2,2023-02-07,BarcodeRead,267378417
12:12:19.4,2023-02-07,PackageAppeared,729880560
12:12:27.2,2023-02-07,PackageStopped,251158239
12:12:31.6,2023-02-07,Destination Found,251158239
12:12:33.0,2023-02-07,PackageDelivered,251158239
12:12:40.0,2023-02-07,BarcodeRead,729880560
12:12:43.4,2023-02-07,PackageAppeared,480508470
12:12:46.6,2023-02-07,Destination Found,267378417
12:12:52.2,2023-02-07,PackageDelivered,267378417
12:12:59.8,2023-02-07,BarcodeRead,480508470
12:13:02.5,2023-02-07,PackageAppeared,1408231629
12:13:05.8,2023-02-07,Destination Found,729880560
12:13:11.9,2023-02-07,PackageDelivered,729880560
12:13:20.8,2023-02-07,BarcodeRead,1408231629
12:13:23.9,2023-02-07,PackageAppeared,1170754686
12:13:27.2,2023-02-07,Destination Found,480508470
12:13:32.9,2023-02-07,PackageDelivered,480508470
12:13:41.4,2023-02-07,BarcodeRead,1170754686
12:13:44.1,2023-02-07,PackageAppeared,1886822874
12:13:47.8,2023-02-07,Destination Found,1408231629
12:13:53.3,2023-02-07,PackageDelivered,1408231629
12:14:02.2,2023-02-07,BarcodeRead,1886822874
12:14:05.8,2023-02-07,PackageAppeared,1647576405
12:14:08.9,2023-02-07,Destination Found,1170754686
12:14:14.7,2023-02-07,PackageDelivered,1170754686
12:14:22.9,2023-02-07,BarcodeRead,1647576405
12:14:29.9,2023-02-07,Destination Found,1886822874
12:14:35.8,2023-02-07,PackageDelivered,1886822874
12:14:49.9,2023-02-07,Destination Found,1647576405
12:14:55.6,2023-02-07,PackageDelivered,1647576405
12:16:12.3,2023-02-07,PackageAppeared,1681018556
12:38:29.5,2023-02-07,PackageAppeared,1517548324
12:38:37.0,2023-02-07,BarcodeRead,1517548324
12:39:40.3,2023-02-07,PackageLost,1517548324
12:39:46.1,2023-02-07,PackageAppeared,119327992
12:40:16.8,2023-02-07,PackageLost,119327992
12:44:30.4,2023-02-07,PackageAppeared,1750929142
12:44:38.1,2023-02-07,BarcodeRead,1750929142
12:45:23.4,2023-02-07,PackageLost,1750929142
12:45:29.8,2023-02-07,PackageAppeared,348416071
12:45:41.9,2023-02-07,PackageLost,348416071
12:55:43.4,2023-02-07,PackageAppeared,1028536537
12:55:51.0,2023-02-07,BarcodeRead,1028536537
12:56:04.0,2023-02-07,Destination Found,1028536537
12:56:10.2,2023-02-07,PackageDelivered,1028536537
12:59:31.4,2023-02-07,PackageAppeared,1287673789
12:59:38.9,2023-02-07,BarcodeRead,1287673789
12:59:45.9,2023-02-07,PackageAppeared,1040923215
12:59:52.1,2023-02-07,BarcodeRead,1040923215
12:59:52.2,2023-02-07,Destination Found,1287673789
12:59:58.0,2023-02-07,PackageDelivered,1287673789
13:00:01.2,2023-02-07,PackageAppeared,1304025516
13:00:07.7,2023-02-07,BarcodeRead,1304025516
13:00:13.0,2023-02-07,Destination Found,1040923215
13:00:24.1,2023-02-07,PackageAppeared,43336548
13:00:32.8,2023-02-07,PackageDumped,1040923215
13:00:53.6,2023-02-07,BarcodeRead,43336548
13:00:56.1,2023-02-07,PackageAppeared,810327762
13:01:03.7,2023-02-07,PackageStopped,1304025516
13:01:50.2,2023-02-07,Destination Found,1304025516
13:01:51.6,2023-02-07,PackageDelivered,1304025516
13:01:59.4,2023-02-07,BarcodeRead,810327762
13:02:05.0,2023-02-07,Destination Found,43336548
13:02:10.9,2023-02-07,PackageDelivered,43336548
13:02:14.9,2023-02-07,PackageAppeared,1843749410
13:02:26.6,2023-02-07,BarcodeRead,1843749410
13:02:28.7,2023-02-07,PackageStopped,810327762
13:02:32.8,2023-02-07,Destination Found,810327762
13:02:34.3,2023-02-07,PackageDelivered,810327762
13:02:47.9,2023-02-07,PackageAppeared,419591115
13:02:54.3,2023-02-07,BarcodeRead,419591115
13:02:56.6,2023-02-07,Destination Found,1843749410
13:02:57.6,2023-02-07,PackageAppeared,180868950
13:03:02.2,2023-02-07,PackageDelivered,1843749410
13:03:09.7,2023-02-07,BarcodeRead,180868950
13:03:12.5,2023-02-07,PackageAppeared,1603271744
13:03:20.2,2023-02-07,PackageStopped,419591115
13:03:20.8,2023-02-07,Destination Found,419591115
13:03:22.4,2023-02-07,PackageDelivered,419591115
13:03:30.6,2023-02-07,BarcodeRead,1603271744
13:03:34.0,2023-02-07,PackageAppeared,1298323430
13:03:37.2,2023-02-07,Destination Found,180868950
13:03:43.0,2023-02-07,PackageDelivered,180868950
13:03:50.2,2023-02-07,BarcodeRead,1298323430
13:03:53.3,2023-02-07,PackageAppeared,895559651
13:04:00.9,2023-02-07,PackageStopped,1603271744
13:04:46.9,2023-02-07,Destination Found,1603271744
13:04:48.4,2023-02-07,PackageDelivered,1603271744
13:04:56.1,2023-02-07,BarcodeRead,895559651
13:04:58.8,2023-02-07,PackageAppeared,582910622
13:05:01.9,2023-02-07,Destination Found,1298323430
13:05:07.8,2023-02-07,PackageDelivered,1298323430
13:05:17.2,2023-02-07,BarcodeRead,582910622
13:05:19.5,2023-02-07,PackageAppeared,410283530
13:05:22.8,2023-02-07,Destination Found,895559651
13:05:28.7,2023-02-07,PackageDelivered,895559651
13:05:35.9,2023-02-07,BarcodeRead,410283530
13:05:39.2,2023-02-07,PackageAppeared,114084539
13:05:46.6,2023-02-07,PackageStopped,582910622
13:06:32.3,2023-02-07,Destination Found,582910622
13:06:33.8,2023-02-07,PackageDelivered,582910622
13:06:41.2,2023-02-07,BarcodeRead,114084539
13:06:44.3,2023-02-07,PackageAppeared,378695671
13:06:51.7,2023-02-07,PackageStopped,410283530
13:07:39.7,2023-02-07,Destination Found,410283530
13:07:41.4,2023-02-07,PackageDelivered,410283530
13:07:48.4,2023-02-07,BarcodeRead,378695671
13:07:51.9,2023-02-07,PackageAppeared,137219465
13:07:59.4,2023-02-07,PackageStopped,114084539
13:07:59.7,2023-02-07,Destination Found,114084539
13:08:01.3,2023-02-07,PackageDelivered,114084539
13:08:10.1,2023-02-07,BarcodeRead,137219465
13:08:20.5,2023-02-07,PackageStopped,378695671
13:09:10.1,2023-02-07,Destination Found,378695671
13:09:11.8,2023-02-07,PackageDelivered,378695671
13:09:19.4,2023-02-07,PackageAppeared,427669844
13:09:25.3,2023-02-07,Destination Found,137219465
13:09:29.9,2023-02-07,BarcodeRead,427669844
13:09:31.2,2023-02-07,PackageDelivered,137219465
13:09:46.1,2023-02-07,PackageAppeared,849717277
13:09:52.5,2023-02-07,BarcodeRead,849717277
13:09:55.5,2023-02-07,PackageAppeared,82693294
13:10:00.5,2023-02-07,PackageStopped,427669844
13:10:44.3,2023-02-07,Destination Not Found,427669844
13:10:47.8,2023-02-07,PackageDumped,427669844
13:11:01.7,2023-02-07,Destination Found,849717277
13:11:07.4,2023-02-07,PackageDelivered,849717277
13:12:04.5,2023-02-07,BarcodeRead,82693294
13:12:21.3,2023-02-07,Destination Found,82693294
13:12:23.5,2023-02-07,PackageDelivered,82693294
13:12:39.4,2023-02-07,PackageAppeared,961654472
13:12:45.6,2023-02-07,BarcodeRead,961654472
13:12:48.0,2023-02-07,PackageAppeared,194401106
13:12:52.7,2023-02-07,PackageLost,194401106
13:12:52.8,2023-02-07,PackageAppeared,476969501
13:13:01.4,2023-02-07,PackageAppeared,1443555386
13:13:03.1,2023-02-07,PackageStopped,961654472
13:13:05.7,2023-02-07,Destination Found,961654472
13:13:08.5,2023-02-07,PackageDelivered,961654472
13:13:12.7,2023-02-07,PackageAppeared,134402375
13:13:12.8,2023-02-07,BarcodeRead,476969501
13:13:13.9,2023-02-07,PackageLost,476969501
13:13:24.1,2023-02-07,PackageAppeared,74143400
13:13:29.8,2023-02-07,PackageAppeared,544880947
13:13:35.1,2023-02-07,PackageLost,544880947
13:13:36.0,2023-02-07,PackageLost,134402375
13:14:02.0,2023-02-07,PackageAppeared,103715870
13:14:02.0,2023-02-07,PackageStopped,103715870
13:14:13.7,2023-02-07,BarcodeRead,103715870
13:14:28.6,2023-02-07,PackageDumped,103715870
13:15:41.3,2023-02-07,PackageAppeared,1951199353
13:15:41.4,2023-02-07,PackageStopped,1951199353
13:15:50.8,2023-02-07,PackageDumped,1951199353
13:16:01.2,2023-02-07,PackageAppeared,676072637
13:16:02.5,2023-02-07,PackageLost,1443555386
13:16:07.4,2023-02-07,BarcodeRead,676072637
13:16:13.5,2023-02-07,PackageAppeared,732323237
13:16:24.9,2023-02-07,PackageStopped,676072637
13:16:27.0,2023-02-07,BarcodeRead,732323237
13:17:14.7,2023-02-07,Destination Found,676072637
13:17:17.6,2023-02-07,PackageDelivered,676072637
13:17:28.3,2023-02-07,PackageAppeared,1417945778
13:17:34.7,2023-02-07,Destination Found,732323237
13:17:38.3,2023-02-07,PackageDelivered,732323237
13:17:42.3,2023-02-07,BarcodeRead,1417945778
13:18:48.8,2023-02-07,PackageStopped,1417945778
13:18:49.9,2023-02-07,Destination Found,1417945778
13:18:52.7,2023-02-07,PackageDelivered,1417945778
13:19:03.1,2023-02-07,PackageAppeared,4603058
13:19:09.3,2023-02-07,BarcodeRead,4603058
13:19:13.1,2023-02-07,PackageAppeared,764485372
13:19:19.4,2023-02-07,BarcodeRead,764485372
13:19:22.5,2023-02-07,PackageAppeared,502102016
13:19:24.1,2023-02-07,Destination Found,4603058
13:19:29.0,2023-02-07,PackageDelivered,4603058
13:19:37.0,2023-02-07,BarcodeRead,502102016
13:19:41.7,2023-02-07,Destination Searching,764485372
13:19:47.1,2023-02-07,PackageStopped,764485372
13:19:54.9,2023-02-07,PackageDumped,764485372
13:20:08.3,2023-02-07,Destination Searching,502102016
13:20:13.1,2023-02-07,PackageStopped,502102016
13:20:35.4,2023-02-07,PackageDumped,502102016
13:20:45.7,2023-02-07,PackageAppeared,274523284
13:20:51.9,2023-02-07,BarcodeRead,274523284
13:21:09.4,2023-02-07,PackageStopped,274523284
13:21:52.3,2023-02-07,PackageAppeared,1490548109
13:21:57.3,2023-02-07,Destination Found,274523284
13:21:58.6,2023-02-07,BarcodeRead,1490548109
13:22:00.2,2023-02-07,PackageDelivered,274523284
13:22:00.6,2023-02-07,PackageAppeared,1193890352
13:22:07.9,2023-02-07,BarcodeRead,1193890352
13:22:10.7,2023-02-07,PackageAppeared,1288393799
13:22:18.0,2023-02-07,PackageStopped,1490548109
13:22:18.9,2023-02-07,Destination Found,1490548109
13:22:21.8,2023-02-07,PackageDelivered,1490548109
13:22:34.5,2023-02-07,BarcodeRead,1288393799
13:22:36.6,2023-02-07,PackageAppeared,408778249
13:22:40.1,2023-02-07,Destination Found,1193890352
13:22:46.1,2023-02-07,PackageDelivered,1193890352
13:22:53.7,2023-02-07,BarcodeRead,408778249
13:22:56.1,2023-02-07,PackageAppeared,1579054833
13:22:58.3,2023-02-07,Destination Searching,1288393799
13:23:04.0,2023-02-07,PackageStopped,1288393799
13:23:35.1,2023-02-07,PackageDumped,1288393799
13:23:42.8,2023-02-07,BarcodeRead,1579054833
